Epoch :194	 Loss:1.223155	 Accuracy:281.250 OA:29.51	 AA:43.19
Epoch :195	 Loss:0.815000	 Accuracy:281.250 OA:29.43	 AA:42.98
Epoch :196	 Loss:0.826935	 Accuracy:281.250 OA:29.56	 AA:42.99
Epoch :197	 Loss:0.806585	 Accuracy:281.250 OA:29.33	 AA:42.82
Epoch :198	 Loss:0.995181	 Accuracy:287.500 OA:28.93	 AA:43.06
Epoch :199	 Loss:0.918587	 Accuracy:293.750 OA:29.84	 AA:45.58
Epoch :200	 Loss:0.882803	 Accuracy:312.500 OA:29.83	 AA:45.85
Epoch :201	 Loss:0.925365	 Accuracy:312.500 OA:28.75	 AA:45.09
Epoch :202	 Loss:0.909299	 Accuracy:318.750 OA:29.47	 AA:44.06
Epoch :203	 Loss:1.011024	 Accuracy:293.750 OA:38.99	 AA:47.60
Epoch :204	 Loss:0.752733	 Accuracy:350.000 OA:43.31	 AA:48.98
Epoch :205	 Loss:1.095663	 Accuracy:356.250 OA:43.87	 AA:48.93
Epoch :206	 Loss:0.954588	 Accuracy:343.750 OA:43.50	 AA:48.18
