Epoch :86	 Loss:0.720018	 Accuracy:487.500 OA:70.57	 AA:82.40
Epoch :87	 Loss:0.706461	 Accuracy:487.500 OA:70.72	 AA:82.52
Epoch :88	 Loss:0.497180	 Accuracy:487.500 OA:71.00	 AA:82.67
Epoch :89	 Loss:0.496753	 Accuracy:487.500 OA:71.28	 AA:82.63
Epoch :90	 Loss:0.738303	 Accuracy:481.250 OA:71.48	 AA:82.91
Epoch :91	 Loss:0.492418	 Accuracy:487.500 OA:71.44	 AA:83.05
Epoch :92	 Loss:0.417529	 Accuracy:487.500 OA:71.26	 AA:82.92
Epoch :93	 Loss:0.735185	 Accuracy:481.250 OA:71.50	 AA:82.92
Epoch :94	 Loss:0.422052	 Accuracy:487.500 OA:71.43	 AA:82.80
Epoch :95	 Loss:0.556741	 Accuracy:487.500 OA:71.73	 AA:82.78
Epoch :96	 Loss:0.337419	 Accuracy:487.500 OA:71.27	 AA:82.66
Epoch :97	 Loss:0.345083	 Accuracy:487.500 OA:71.25	 AA:82.66
Epoch :98	 Loss:0.413098	 Accuracy:487.500 OA:70.95	 AA:82.34
Epoch :99	 Loss:0.565432	 Accuracy:487.500 OA:71.05	 AA:82.35
Epoch :100	 Loss:0.647966	 Accuracy:487.500 OA:71.30	 AA:82.43
Epoch :101	 Loss:0.537943	 Accuracy:481.250 OA:71.15	 AA:82.55
Epoch :102	 Loss:0.635506	 Accuracy:487.500 OA:71.62	 AA:82.86
Epoch :103	 Loss:0.486938	 Accuracy:487.500 OA:71.74	 AA:82.77
Epoch :104	 Loss:0.385455	 Accuracy:487.500 OA:71.96	 AA:82.93
Epoch :105	 Loss:0.480855	 Accuracy:487.500 OA:71.98	 AA:82.95
Epoch :106	 Loss:0.702913	 Accuracy:481.250 OA:72.04	 AA:82.94
Epoch :107	 Loss:0.305736	 Accuracy:487.500 OA:72.21	 AA:82.88
Epoch :108	 Loss:0.658632	 Accuracy:493.750 OA:72.21	 AA:82.85
Epoch :109	 Loss:0.469314	 Accuracy:493.750 OA:72.13	 AA:82.98
Epoch :110	 Loss:0.402811	 Accuracy:493.750 OA:72.10	 AA:82.98
Epoch :111	 Loss:0.433880	 Accuracy:493.750 OA:72.07	 AA:82.88
Epoch :112	 Loss:0.388767	 Accuracy:493.750 OA:72.58	 AA:83.09
Epoch :113	 Loss:0.324636	 Accuracy:493.750 OA:72.71	 AA:83.15
Epoch :114	 Loss:0.339471	 Accuracy:493.750 OA:72.92	 AA:83.24
Epoch :115	 Loss:0.491021	 Accuracy:493.750 OA:73.14	 AA:83.43
Epoch :116	 Loss:0.427491	 Accuracy:493.750 OA:73.60	 AA:83.63
Epoch :117	 Loss:0.440214	 Accuracy:493.750 OA:73.90	 AA:83.86
Epoch :118	 Loss:0.466716	 Accuracy:487.500 OA:74.14	 AA:83.95
Epoch :119	 Loss:0.350980	 Accuracy:493.750 OA:74.10	 AA:83.93
Epoch :120	 Loss:0.605514	 Accuracy:487.500 OA:74.01	 AA:83.87
Epoch :121	 Loss:0.297788	 Accuracy:493.750 OA:74.17	 AA:83.95
Epoch :122	 Loss:0.333662	 Accuracy:493.750 OA:74.29	 AA:84.07
Epoch :123	 Loss:0.430864	 Accuracy:493.750 OA:74.48	 AA:84.20
Epoch :124	 Loss:0.281915	 Accuracy:493.750 OA:74.45	 AA:84.19
